118,43,0.7,27.9,-86.1
83,48,631.5,20.4,-81.9
65,27,7.6,16.5,-60.9
148,70,5.1,15.9,-77.7
129,56,8.8,27.3,-97.2
173,81,7413.8,25.5,-97.6
149,92,1.8,24,-73.5
195,1491,3.4,14.4,-61.6
2,43,5.8,27,-69.3
190,1109,4.7,20.4,-53.3
132,40,5.2,23.7,-60.9
164,20,7707.5,28.2,-62.2
160,91,0.7,14.4,-83.7
48,56,8.4,23.1,-73.9
193,100,7963.4,12.6,-67.7
194,61,4508.6,14.1,-74.4
127,14,4,28.2,-66.9
117,1400,7.9,21.9,-88.5
61,11,9906,23.7,-50.8
32,95,6.8,16.5,-95.7
131,98,9.3,23.1,-79.4
57,73,4.6,13.8,-50.7
104,475,1.7,23.7,-75.7
141,29,8.4,15.6,-69.4
7,83,9669.1,23.1,-99.5
95,84,1682.7,29.4,-61.5
40,96,6.4,24,-62.9
71,1798,3.1,18.3,-89.2
112,23,7172.5,20.4,-80.1
155,876,3.5,12.9,-86.9
55,500,8.5,21.6,-96.1
10,62,8338.8,29.7,-89
192,54,2.2,24.9,-75.8
124,23,8.6,19.5,-74.2
121,1407,3.6,22.8,-58
179,63,2.6,22.5,-79.4
41,1042,0.2,21.3,-79.9
66,28,4937.2,15,-52.3
128,1521,6.2,17.4,-83.3
126,87,6.8,21.3,-93.3
113,407,7.4,15,-65.2
138,44,7.7,19.5,-53.8
116,14,8.3,22.8,-75.6
123,93,6.8,26.4,-74.7
28,527,9.5,20.7,-99.8
47,29,8.3,24.3,-90.6
130,28,4.8,25.5,-61
170,194,2.1,15.6,-69.4
180,90,4.4,23.1,-60.3
176,1280,8.8,25.8,-58.1
110,49,9,19.8,-65.6
67,24,5.4,20.1,-96
68,995,7.6,21,-59.7
80,21,5.2,16.2,-93.3
49,937,0.2,27,-71.5
64,39,4.3,21.3,-71.3
77,47,4.9,14.1,-99.2
150,12,5.4,18.9,-53.2
85,1374,0.1,26.7,-69.2
175,54,5.4,14.7,-66.6
63,300,2075.9,23.7,-78.9
172,31,2.9,25.2,-64.8
97,1527,1392.8,24.9,-76.5
37,612,8.7,14.4,-79.6
30,835,9.4,29.1,-50.5
111,43,9.1,19.8,-75.7
70,75,3,22.2,-94.2
15,19,0.3,14.1,-57.1
163,1831,2,21,-82.9
33,38,3.4,15,-84.2
59,59,4.6,17.7,-81.1
143,63,3305.5,14.7,-56.5
174,100,4.7,18.3,-73.4
184,37,2.2,24,-98.8
46,11,9.7,21.3,-87.6
133,15,3.2,26.4,-63.8
78,40,1.4,22.5,-78.4
114,1664,5.7,13.5,-87
99,44,776.9,16.8,-90.6
188,41,1.3,28.2,-89.3
153,789,5379.8,27.9,-75.3
20,1262,6,29.7,-98.4
107,1162,6.8,18,-81.4
75,72,1.7,29.7,-82.2
169,27,7341.6,23.1,-86.3
177,35,2.3,23.7,-86.8
109,32,1.4,22.8,-62.7
84,29,9.2,26.4,-93.5
79,93,2201.2,23.1,-59.8
58,844,9.2,18.9,-84.8
50,18,9.3,15.6,-82.9
4,100,218.9,13.5,-67
29,41,6.3,15,-98.1
171,63,5.6,19.2,-61.4
88,895,8328,12.6,-65.5
39,632,0.6,29.1,-53.6
135,46,7,18,-96.9
144,63,4.7,29.1,-65.6
182,13,6.1,12.9,-63.7
36,1878,0.3,19.5,-57.6